,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
1,42012,2544,0041200406,"JUN 18, 2013",MIA vs. SAS,W,50,11,26,0.423,1,5,0.2,9,12,0.75,4,6,10,11,3,1,6,3,32,-1,1,2012-13,Playoffs
2,42012,2544,0041200405,"JUN 16, 2013",MIA @ SAS,L,44,8,22,0.364,2,4,0.5,7,9,0.778,3,3,6,8,4,0,3,1,25,-9,1,2012-13,Playoffs
3,42012,2544,0041200404,"JUN 13, 2013",MIA @ SAS,W,41,15,25,0.6,1,2,0.5,2,4,0.5,3,8,11,4,2,2,1,2,33,8,1,2012-13,Playoffs
4,42012,2544,0041200403,"JUN 11, 2013",MIA @ SAS,L,39,7,21,0.333,1,5,0.2,0,0,,1,10,11,5,2,0,2,0,15,-32,1,2012-13,Playoffs
5,42012,2544,0041200402,"JUN 09, 2013",MIA vs. SAS,W,41,7,17,0.412,1,3,0.333,2,2,1.0,1,7,8,7,3,3,2,2,17,29,1,2012-13,Playoffs
6,42012,2544,0041200401,"JUN 06, 2013",MIA vs. SAS,L,42,7,16,0.438,1,5,0.2,3,4,0.75,2,16,18,10,0,0,2,0,18,-3,1,2012-13,Playoffs
7,42012,2544,0041200307,"JUN 03, 2013",MIA vs. IND,W,41,8,17,0.471,1,2,0.5,15,16,0.938,2,6,8,4,2,1,2,1,32,21,1,2012-13,Playoffs
8,42012,2544,0041200306,"JUN 01, 2013",MIA @ IND,L,42,10,21,0.476,2,4,0.5,7,8,0.875,0,7,7,6,2,1,4,2,29,-22,1,2012-13,Playoffs
9,42012,2544,0041200305,"MAY 30, 2013",MIA vs. IND,W,44,13,26,0.5,3,7,0.429,1,4,0.25,0,8,8,6,2,1,3,1,30,14,1,2012-13,Playoffs
10,42012,2544,0041200304,"MAY 28, 2013",MIA @ IND,L,43,8,18,0.444,4,7,0.571,4,6,0.667,4,2,6,5,1,3,2,6,24,-3,1,2012-13,Playoffs
